"selector","context","specificity","ownership","occurrenceCount","firstDefinition","laterOverrides","files","importantDeclarationCount","afterDocumentClose","runtimeReferenceCount","likelyObsoleteReview","movementRisk","movementRiskScore","movementRiskReasons"
"th","","0-0-1","Shared","10","DashboardBaseStyles.html:367","DashboardBaseStyles.html:674; DashboardBaseStyles.html:902; DashboardBaseStyles.html:1073; DashboardBaseStyles.html:1152; DashboardBaseStyles.html:1422; DashboardBaseStyles.html:1627; DashboardBaseStyles.html:1824; TatDashboardControllerScript.html:641; TatDashboardControllerScript.html:641","DashboardBaseStyles.html; TatDashboardControllerScript.html","14","true","0","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"body","","0-0-1","Shared","9","DashboardBaseStyles.html:28","DashboardBaseStyles.html:534; DashboardBaseStyles.html:820; DashboardBaseStyles.html:1107; DashboardBaseStyles.html:1207; DashboardBaseStyles.html:1480; DashboardBaseStyles.html:1673; TatDashboardControllerScript.html:641; Index.html:4682","DashboardBaseStyles.html; TatDashboardControllerScript.html; Index.html","11","true","0","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"td","","0-0-1","Shared","5","DashboardBaseStyles.html:384","DashboardBaseStyles.html:1435; DashboardBaseStyles.html:1635; DashboardBaseStyles.html:1832; TatDashboardControllerScript.html:641","DashboardBaseStyles.html; TatDashboardControllerScript.html","4","true","0","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#tatTabFilterHostV6509 .remakeCacheActionBarV6338 .remakeButton","","1-2-0","Shared","4","UnifiedControlsStyles.html:87","TatRemakeAliasStyles.html:242; SharedTopParityStyles.html:217; SharedTopParityStyles.html:251","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html","17","true","41","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#tatTabFilterHostV6509 .remakeDropdownHeaderV6245","","1-1-0","Shared","4","UnifiedControlsStyles.html:65","TatRemakeAliasStyles.html:142; TatRemakeAliasStyles.html:1067; SharedTopParityStyles.html:141","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html","32","true","12","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#remakeTabFilterHostV6337","","1-0-0","Shared","3","Index.html:1439","UnifiedControlsStyles.html:3; SharedTopParityStyles.html:8","Index.html; UnifiedControlsStyles.html; SharedTopParityStyles.html","14","true","9","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#remakeTabFilterHostV6337 .remakeCacheActionBarV6338 .remakeButton","","1-2-0","Shared","3","Index.html:1653","SharedTopParityStyles.html:217; SharedTopParityStyles.html:251","Index.html; SharedTopParityStyles.html","17","true","43","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#remakeTabFilterHostV6337 .remakeDropdownHeaderV6245","","1-1-0","Shared","3","Index.html:1534","Index.html:3041; SharedTopParityStyles.html:141","Index.html; SharedTopParityStyles.html","22","true","14","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#remakeTabFilterHostV6337 .remakeDropdownHeaderV6245 button","","1-1-1","Shared","3","Index.html:1542","Index.html:3053; SharedTopParityStyles.html:180","Index.html; SharedTopParityStyles.html","18","true","14","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#tatDashboardPageV6509.cleanRemakeV6230 .tatKpisV6509","","1-2-0","Shared","3","TatRemakeAliasStyles.html:1363","Index.html:4632; SharedTopParityStyles.html:272","TatRemakeAliasStyles.html; Index.html; SharedTopParityStyles.html","16","true","597","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
