"cascadeOrder","selector","context","file","line","styleId","styleBlockOrder","includeOrder","afterDocumentClose","specificity","ownership","importantDeclarationCount","declarations"
"1",":root","","DashboardBaseStyles.html","2","","1","1","false","0-1-0","Shared","0","--bg: #f4f1ee; --canvas: #ebe7e3; --card: #ffffff; --ink: #172033; --muted: #667085; --line: #d5d9e2; --softline: #edf0f5; --navy: #182433; --navy2: #26374f; --blue: #235b8e; --bluesoft: rgba(35, 91, 142, 0.18); --slate: #6f7d8f; --slatesoft: rgba(111, 125, 143, 0.22); --pale: #a8c4dd; --palesoft: rgba(168, 196, 221, 0.30); --green: #067647; --red: #b42318; --amber: #b76e00; --chip: #eef4fb"
"2","*","","DashboardBaseStyles.html","24","","1","1","false","0-0-0","Shared","0","box-sizing: border-box"
"3","body","","DashboardBaseStyles.html","28","","1","1","false","0-0-1","Shared","0","margin: 0; background: var(--bg); color: var(--ink); font-family: Arial, Helvetica, sans-serif"
"4",".tabs","","DashboardBaseStyles.html","35","","1","1","false","0-1-0","Shared","0","height: 42px; display: flex; align-items: end; gap: 4px; background: #f7f7f8; border-bottom: 1px solid #d7dce4; padding: 0 10px"
"5",".tabBtn","","DashboardBaseStyles.html","45","","1","1","false","0-1-0","Shared","0","border: 0; background: transparent; padding: 12px 20px 11px; font-size: 16px; font-weight: 800; color: #344054; border-radius: 10px 10px 0 0; cursor: pointer"
"6",".tabBtn.active","","DashboardBaseStyles.html","56","","1","1","false","0-2-0","Shared","0","background: #d5e5fb; color: #174ea6; box-shadow: inset 0 -1px 0 #d5e5fb"
"7",".tabPage","","DashboardBaseStyles.html","62","","1","1","false","0-1-0","Shared","0","display: none; padding: 10px 12px 16px"
"8",".tabPage.active","","DashboardBaseStyles.html","67","","1","1","false","0-2-0","Shared","0","display: block"
"9",".dashboardShell","","DashboardBaseStyles.html","71","","1","1","false","0-1-0","Shared","0","max-width: 1920px; margin: 0 auto; background: var(--canvas); border: 1px solid #d4d7de; padding: 8px"
"10",".topBar","","DashboardBaseStyles.html","79","","1","1","false","0-1-0","Shared","0","display: grid; grid-template-columns: auto auto auto 1fr; gap: 10px; align-items: center; margin-bottom: 8px"
"11",".segGroup","","DashboardBaseStyles.html","87","","1","1","false","0-1-0","Shared","0","display: inline-flex; background: #ffffff; border: 1px solid #c9ced8; border-radius: 9px; padding: 3px; box-shadow: 0 1px 2px rgba(16, 24, 40, 0.08); gap: 3px"
"12",".segBtn","","DashboardBaseStyles.html","97","","1","1","false","0-1-0","Shared","0","border: 0; border-radius: 7px; background: transparent; padding: 9px 13px; font-weight: 800; font-size: 13px; color: #344054; cursor: pointer; white-space: nowrap"
"13",".resetBtn","","DashboardBaseStyles.html","97","","1","1","false","0-1-0","Shared","0","border: 0; border-radius: 7px; background: transparent; padding: 9px 13px; font-weight: 800; font-size: 13px; color: #344054; cursor: pointer; white-space: nowrap"
"14",".segBtn.active","","DashboardBaseStyles.html","110","","1","1","false","0-2-0","Shared","0","background: var(--navy); color: #ffffff; box-shadow: 0 1px 2px rgba(16, 24, 40, 0.14)"
"15",".resetBtn","","DashboardBaseStyles.html","116","","1","1","false","0-1-0","Shared","0","background: #ffffff; border: 1px solid #c9ced8; box-shadow: 0 1px 2px rgba(16, 24, 40, 0.08)"
"16",".kpiStrip","","DashboardBaseStyles.html","122","","1","1","false","0-1-0","Shared","0","display: grid; grid-template-columns: repeat(6, minmax(110px, 1fr)); gap: 6px"
"17",".kpiMini","","DashboardBaseStyles.html","128","","1","1","false","0-1-0","Shared","0","background: #ffffff; border: 1px solid #d8dde6; border-radius: 9px; padding: 7px 9px; min-height: 48px"
"18",".kpiMini .label","","DashboardBaseStyles.html","136","","1","1","false","0-2-0","Shared","0","font-size: 10px; color: var(--muted); font-weight: 800; text-transform: uppercase; letter-spacing: .03em; margin-bottom: 4px"
"19",".kpiMini .value","","DashboardBaseStyles.html","145","","1","1","false","0-2-0","Shared","0","font-size: 18px; line-height: 1.05; font-weight: 900; color: var(--ink)"
"20",".kpiMini .value.good","","DashboardBaseStyles.html","152","","1","1","false","0-3-0","Shared","0","color: var(--green)"
"21",".kpiMini .value.bad","","DashboardBaseStyles.html","156","","1","1","false","0-3-0","Shared","0","color: var(--red)"
"22",".chipRow","","DashboardBaseStyles.html","160","","1","1","false","0-1-0","Shared","0","min-height: 28px; display: flex; gap: 6px; flex-wrap: wrap; margin: 0 0 8px 0; align-items: center"
"23",".chip","","DashboardBaseStyles.html","169","","1","1","false","0-1-0","Shared","0","display: inline-flex; align-items: center; gap: 6px; background: var(--chip); border: 1px solid #c8d8ea; color: #23415f; border-radius: 999px; padding: 5px 9px; font-size: 12px; font-weight: 700"
"24",".chip button","","DashboardBaseStyles.html","182","","1","1","false","0-1-1","Shared","0","border: 0; background: transparent; cursor: pointer; color: #315f9b; font-weight: 900; padding: 0"
"25",".grid","","DashboardBaseStyles.html","191","","1","1","false","0-1-0","Shared","0","display: grid; grid-template-columns: 205px 1.08fr 1.08fr 1.28fr; grid-template-rows: 234px 234px 234px; gap: 7px; grid-template-areas: ""filters revenue customers customerTable"" ""filters units rpac productTable"" ""filters units avg productTable"""
"26",".filterPanel","","DashboardBaseStyles.html","202","","1","1","false","0-1-0","Shared","0","grid-area: filters; background: var(--card); border: 1px solid #bdc4cf; box-shadow: 0 1px 2px rgba(16, 24, 40, 0.18); overflow: hidden; min-height: 0"
"27",".sectionHeader","","DashboardBaseStyles.html","211","","1","1","false","0-1-0","Shared","0","background: #0f1720; color: #ffffff; padding: 6px 8px; display: flex; justify-content: space-between; align-items: center; font-size: 12px; font-weight: 900"
"28",".filterBlock","","DashboardBaseStyles.html","222","","1","1","false","0-1-0","Shared","0","border-bottom: 1px solid #dde1e8; padding: 8px"
"29",".deptList","","DashboardBaseStyles.html","227","","1","1","false","0-1-0","Shared","0","max-height: 232px; overflow-y: auto"
"30",".yearList","","DashboardBaseStyles.html","227","","1","1","false","0-1-0","Shared","0","max-height: 232px; overflow-y: auto"
"31",".deptRow","","DashboardBaseStyles.html","233","","1","1","false","0-1-0","Shared","0","display: grid; grid-template-columns: 1fr auto; align-items: center; gap: 8px; padding: 5px 3px; border-radius: 5px; cursor: pointer; font-size: 12px"
"32",".yearRow","","DashboardBaseStyles.html","233","","1","1","false","0-1-0","Shared","0","display: grid; grid-template-columns: 1fr auto; align-items: center; gap: 8px; padding: 5px 3px; border-radius: 5px; cursor: pointer; font-size: 12px"
"33",".deptRow:hover","","DashboardBaseStyles.html","245","","1","1","false","0-2-0","Shared","0","background: #eef5ff"
"34",".yearRow:hover","","DashboardBaseStyles.html","245","","1","1","false","0-2-0","Shared","0","background: #eef5ff"
"35",".deptRow.active","","DashboardBaseStyles.html","245","","1","1","false","0-2-0","Shared","0","background: #eef5ff"
"36",".yearRow.active","","DashboardBaseStyles.html","245","","1","1","false","0-2-0","Shared","0","background: #eef5ff"
"37",".labelSide","","DashboardBaseStyles.html","252","","1","1","false","0-1-0","Shared","0","display: flex; align-items: center; gap: 6px; min-width: 0"
"38",".labelSide span","","DashboardBaseStyles.html","259","","1","1","false","0-1-1","Shared","0","white-space: nowrap; overflow: hidden; text-overflow: ellipsis"
"39",".rowTotal","","DashboardBaseStyles.html","265","","1","1","false","0-1-0","Shared","0","color: #344054; font-size: 11px; white-space: nowrap; text-align: right"
"40","select","","DashboardBaseStyles.html","272","","1","1","false","0-0-1","Shared","0","width: 100%; border: 1px solid #cbd3df; border-radius: 7px; background: #ffffff; padding: 8px; font-size: 12px; color: var(--ink)"
"41","input[type=""text""]","","DashboardBaseStyles.html","272","","1","1","false","0-1-1","Shared","0","width: 100%; border: 1px solid #cbd3df; border-radius: 7px; background: #ffffff; padding: 8px; font-size: 12px; color: var(--ink)"
"42",".card","","DashboardBaseStyles.html","283","","1","1","false","0-1-0","Shared","0","background: #ffffff; border: 1px solid #bdc4cf; box-shadow: 0 1px 2px rgba(16, 24, 40, 0.18); padding: 7px; min-width: 0; min-height: 0; overflow: hidden"
"43",".areaRevenue","","DashboardBaseStyles.html","293","","1","1","false","0-1-0","Shared","0","grid-area: revenue"
"44",".areaCustomers","","DashboardBaseStyles.html","294","","1","1","false","0-1-0","Shared","0","grid-area: customers"
"45",".areaCustomerTable","","DashboardBaseStyles.html","295","","1","1","false","0-1-0","Shared","0","grid-area: customerTable"
"46",".areaUnits","","DashboardBaseStyles.html","296","","1","1","false","0-1-0","Shared","0","grid-area: units"
"47",".areaRpac","","DashboardBaseStyles.html","297","","1","1","false","0-1-0","Shared","0","grid-area: rpac"
"48",".areaAvg","","DashboardBaseStyles.html","298","","1","1","false","0-1-0","Shared","0","grid-area: avg"
"49",".areaProductTable","","DashboardBaseStyles.html","299","","1","1","false","0-1-0","Shared","0","grid-area: productTable"
"50",".cardHeader","","DashboardBaseStyles.html","301","","1","1","false","0-1-0","Shared","0","display: flex; justify-content: space-between; align-items: center; gap: 8px; margin-bottom: 4px"
"51",".chartTitle","","DashboardBaseStyles.html","309","","1","1","false","0-1-0","Shared","0","font-size: 12px; font-weight: 900; color: #101828; white-space: nowrap"
"52",".tableToggles","","DashboardBaseStyles.html","316","","1","1","false","0-1-0","Shared","0","display: inline-flex; background: #f1f4f8; border-radius: 7px; padding: 2px; gap: 2px"
